Points,50m,55m,60m,50mH,55mH,60mH,200m,300m,400m,500m,4x200m,4x400m,600m,800m,1000m,1500m,Mile,2000m,3000m,2 Miles,5000m,HJ,PV,LJ,TJ,SP,Hept.,Pent.
1400,,,6.5,5.95,,,20.78,32.92,46.1,1:00.12,1:21.81,3:03.46,1:15.58,1:47.55,2:19.62,3:39.74,3:57.19,5:00.11,7:44.78,8:18.93,13:17.32,,5.41,7.82,16.73,23.07,7265.0,5589.0
1399,5.59,6.04,,,6.5,7.0,20.79,32.94,46.12,1:00.15,1:21.85,3:03.57,1:15.62,1:47.60,2:19.69,3:39.85,3:57.31,5:00.27,7:45.04,8:19.22,13:17.78,2.18,,9.19,16.72,23.05,7261.0,5585.0
1398,,5.79,,6.01,6.53,6.95,20.8,32.95,46.14,1:00.18,1:21.90,3:03.67,1:15.67,1:47.66,2:19.76,3:39.97,3:57.44,5:00.43,7:45.31,8:19.50,13:18.25,,,7.81,16.71,23.03,7256.0,5581.0
1397,5.38,,,,,7.01,20.81,32.97,46.17,1:00.21,1:21.95,3:03.78,1:15.71,1:47.72,2:19.83,3:40.08,3:57.56,5:00.60,7:45.57,8:19.79,13:18.71,,5.4,9.18,16.7,23.02,7251.0,5578.0
1396,,,6.51,5.96,6.51,,20.82,32.99,46.19,1:00.25,1:21.99,3:03.89,1:15.75,1:47.77,2:19.91,3:40.20,3:57.69,5:00.76,7:45.83,8:20.07,13:19.18,,,7.8,16.69,23.0,7246.0,5574.0
1395,5.6,6.05,6.19,6.02,,6.96,20.83,33.0,46.22,1:00.28,1:22.04,3:04.00,1:15.79,1:47.83,2:19.98,3:40.31,3:57.81,5:00.92,7:46.09,8:20.36,13:19.65,2.54,,9.17,16.68,22.99,7242.0,5571.0
1394,,,,,6.54,7.02,20.84,33.02,46.24,1:00.31,1:22.09,3:04.10,1:15.83,1:47.88,2:20.05,3:40.43,3:57.94,5:01.08,7:46.36,8:20.64,13:20.11,,5.39,7.79,16.67,22.97,7237.0,5567.0
1393,,,6.52,,6.52,,20.85,33.04,46.26,1:00.34,1:22.13,3:04.21,1:15.87,1:47.94,2:20.12,3:40.54,3:58.06,5:01.24,7:46.62,8:20.93,13:20.58,,,9.16,16.66,22.95,7232.0,5563.0
1392,,,,6.03,,7.03,20.86,33.05,46.29,1:00.38,1:22.18,3:04.32,1:15.91,1:48.00,2:20.19,3:40.66,3:58.19,5:01.40,7:46.88,8:21.21,13:21.04,,6.45,7.78,16.65,22.94,7228.0,5560.0
1391,5.61,6.06,,,6.53,6.97,20.87,33.07,46.31,1:00.41,1:22.23,3:04.43,1:15.95,1:48.05,2:20.27,3:40.77,3:58.31,5:01.57,7:47.15,8:21.50,13:21.51,,5.38,9.15,16.64,22.92,7223.0,5556.0
1390,5.39,,,,6.55,,20.88,33.09,46.33,1:00.44,1:22.27,3:04.53,1:15.99,1:48.11,2:20.34,3:40.88,3:58.44,5:01.73,7:47.41,8:21.79,13:21.98,,,,16.63,22.91,7218.0,5552.0
1389,,,6.53,6.04,,7.04,20.89,33.1,46.36,1:00.47,1:22.32,3:04.64,1:16.03,1:48.16,2:20.41,3:41.00,3:58.56,5:01.89,7:47.67,8:22.07,13:22.44,2.17,6.44,7.77,16.62,22.89,7213.0,5549.0
1388,,,,,6.54,,20.9,33.12,46.38,1:00.51,1:22.37,3:04.75,1:16.08,1:48.22,2:20.48,3:41.11,3:58.68,5:02.05,7:47.94,8:22.36,13:22.91,,5.37,9.14,19.08,22.87,7209.0,5545.0
1387,,6.07,,5.98,,7.05,20.91,33.14,46.4,1:00.54,1:22.41,3:04.86,1:16.12,1:48.28,2:20.55,3:41.23,3:58.81,5:02.22,7:48.20,8:22.64,13:23.38,,,7.76,16.61,22.86,7204.0,5541.0
1386,5.62,,,6.05,6.56,,20.92,33.15,46.43,1:00.57,1:22.46,3:04.96,1:16.16,1:48.33,2:20.63,3:41.34,3:58.93,5:02.38,7:48.47,8:22.93,13:23.85,2.53,6.43,9.13,16.6,22.84,7199.0,5538.0
1385,,5.81,6.54,,6.55,,20.93,33.17,46.45,1:00.60,1:22.51,3:05.07,1:16.20,1:48.39,2:20.70,3:41.46,3:59.06,5:02.54,7:48.73,8:23.22,13:24.31,,5.36,7.75,16.59,22.83,7194.0,5534.0
1384,,,,,,7.06,20.94,33.18,46.48,1:00.64,1:22.55,3:05.18,1:16.24,1:48.44,2:20.77,3:41.57,3:59.18,5:02.70,7:48.99,8:23.50,13:24.78,,,9.12,16.58,22.81,7190.0,5530.0
1383,5.4,6.08,,6.06,6.56,,20.95,33.2,46.5,1:00.67,1:22.60,3:05.29,1:16.28,1:48.50,2:20.84,3:41.69,3:59.31,5:02.86,7:49.26,8:23.79,13:25.25,,6.42,7.74,16.57,22.8,7185.0,5527.0
1382,5.63,,6.55,,6.57,7.07,19.44,33.22,46.52,1:00.70,1:22.65,3:05.40,1:16.32,1:48.56,2:20.91,3:41.80,3:59.44,5:03.03,7:49.52,8:24.08,13:25.72,,,9.11,16.56,22.78,7180.0,5523.0
1381,,,,,,,20.96,33.23,46.55,1:00.73,1:22.69,3:05.50,1:16.36,1:48.61,2:20.99,3:41.92,3:59.56,5:03.19,7:49.79,8:24.36,13:26.19,,5.35,,16.55,22.76,7176.0,5520.0
1380,,,,6.07,6.57,7.0,20.97,33.25,46.57,1:00.77,1:22.74,3:05.61,1:16.41,1:48.67,2:21.06,3:42.03,3:59.69,5:03.35,7:50.05,8:24.65,13:26.66,,,7.73,16.54,22.75,7171.0,5516.0
1379,,6.09,,6.0,,7.08,20.98,33.27,46.59,1:00.80,1:22.79,3:05.72,1:16.45,1:48.73,2:21.13,3:42.15,3:59.81,5:03.51,7:50.32,8:24.94,13:27.12,2.16,,9.1,16.53,22.73,7166.0,5512.0
1378,5.64,5.82,6.56,,6.58,,20.99,33.28,46.62,1:00.83,1:22.83,3:05.83,1:16.49,1:48.78,2:21.20,3:42.26,3:59.94,5:03.68,7:50.58,8:25.22,13:27.59,,5.34,7.72,16.52,22.72,7161.0,5509.0
1377,,,,6.08,6.58,7.09,21.0,33.3,46.64,1:00.86,1:22.88,3:05.94,1:16.53,1:48.84,2:21.28,3:42.38,4:00.06,5:03.84,7:50.84,8:25.51,13:28.06,2.52,,9.09,16.51,22.7,7157.0,5505.0
1376,5.41,,6.22,,,7.01,21.01,33.32,46.67,1:00.90,1:22.93,3:06.05,1:16.57,1:48.90,2:21.35,3:42.50,4:00.19,5:04.00,7:51.11,8:25.80,13:28.53,,,7.71,16.5,22.68,7152.0,5501.0
1375,,6.1,,,,7.1,21.02,33.33,46.69,1:00.93,1:22.97,3:06.15,1:16.61,1:48.95,2:21.42,3:42.61,4:00.31,5:04.17,7:51.37,8:26.08,13:29.00,,5.33,9.08,16.49,22.67,7147.0,5498.0
1374,5.65,,6.57,6.09,6.59,,21.03,33.35,46.71,1:00.96,1:23.02,3:06.26,1:16.65,1:49.01,2:21.49,3:42.73,4:00.44,5:04.33,7:51.64,8:26.37,13:29.47,,,7.7,16.48,22.65,7142.0,5494.0
1373,,,,,,7.02,21.04,33.37,46.74,1:00.99,1:23.07,3:06.37,1:16.70,1:49.06,2:21.56,3:42.84,4:00.56,5:04.49,7:51.90,8:26.66,13:29.94,,,9.07,16.47,22.64,7138.0,5490.0
1372,,,,,6.6,7.11,21.05,33.38,46.76,1:01.03,1:23.11,3:06.48,1:16.74,1:49.12,2:21.64,3:42.96,4:00.69,5:04.66,7:52.17,8:26.95,13:30.41,,5.32,,16.46,22.62,7133.0,5487.0
1371,,6.11,,6.1,,,21.06,33.4,46.78,1:01.06,1:23.16,3:06.59,1:16.78,1:49.18,2:21.71,3:43.07,4:00.82,5:04.82,7:52.43,8:27.23,13:30.88,,,7.69,16.45,22.6,7128.0,5483.0
1370,,,6.58,6.02,6.6,7.12,21.07,33.42,46.81,1:01.09,1:23.21,3:06.70,1:16.82,1:49.23,2:21.78,3:43.19,4:00.94,5:04.98,7:52.70,8:27.52,13:31.35,,,,16.44,22.59,7123.0,5479.0
1369,5.66,,,,6.61,7.03,21.08,33.43,46.83,1:01.12,1:23.26,3:06.80,1:16.86,1:49.29,2:21.85,3:43.30,4:01.07,5:05.14,7:52.97,8:27.81,13:31.82,2.15,5.31,7.68,16.43,22.57,7119.0,5476.0
1368,5.42,,,6.11,,,21.09,33.45,46.86,1:01.16,1:23.30,3:06.91,1:16.90,1:49.35,2:21.93,3:43.42,4:01.19,5:05.31,7:53.23,8:28.10,13:32.29,2.51,,9.05,16.42,22.56,7114.0,5472.0
1367,,6.12,6.59,,,7.13,21.1,33.47,46.88,1:01.19,1:23.35,3:07.02,1:16.94,1:49.40,2:22.00,3:43.54,4:01.32,5:05.47,7:53.50,8:28.39,13:32.76,,6.36,7.67,16.41,22.54,7109.0,5468.0
1366,,,,6.03,6.62,,21.11,33.48,46.9,1:01.22,1:23.40,3:07.13,1:16.99,1:49.46,2:22.07,3:43.65,4:01.44,5:05.63,7:53.76,8:28.68,13:33.23,,,9.04,16.4,22.52,7105.0,5465.0
1365,5.67,5.84,,6.12,,7.14,21.12,33.5,46.93,1:01.25,1:23.44,3:07.24,1:17.03,1:49.52,2:22.14,3:43.77,4:01.57,5:05.80,7:54.03,8:28.96,13:33.70,,5.3,7.66,,22.51,7100.0,5461.0
1364,,6.13,6.24,,6.63,,21.13,33.52,46.95,1:01.29,1:23.49,3:07.35,1:17.07,1:49.57,2:22.22,3:43.88,4:01.70,5:05.96,7:54.29,8:29.25,13:34.17,,6.35,9.03,16.39,22.49,7095.0,5457.0
1363,,,6.6,,,,21.14,33.53,46.97,1:01.32,1:23.54,3:07.46,1:17.11,1:49.63,2:22.29,3:44.00,4:01.82,5:06.13,7:54.56,8:29.54,13:34.65,,,,16.38,22.48,7090.0,5454.0
1362,,,,6.13,,7.15,21.15,33.55,47.0,1:01.35,1:23.59,3:07.56,1:17.15,1:49.69,2:22.36,3:44.11,4:01.95,5:06.29,7:54.83,8:29.83,13:35.12,,5.29,7.65,16.37,22.46,7086.0,5450.0
1361,5.68,,,6.04,6.64,,21.16,33.57,47.02,1:01.39,1:23.63,3:07.67,1:17.19,1:49.74,2:22.44,3:44.23,4:02.07,5:06.45,7:55.09,8:30.12,13:35.59,,6.34,,16.36,22.45,7081.0,5447.0
1360,,6.14,,,,7.16,21.17,33.58,47.05,1:01.42,1:23.68,3:07.78,1:17.23,1:49.80,2:22.51,3:44.35,4:02.20,5:06.62,7:55.36,8:30.41,13:36.06,,,7.64,16.35,22.43,7076.0,5443.0
1359,,,6.61,6.14,,,21.18,33.6,47.07,1:01.45,1:23.73,3:07.89,1:17.28,1:49.86,2:22.58,3:44.46,4:02.33,5:06.78,7:55.63,8:30.70,13:36.53,2.14,5.28,,16.34,22.41,7071.0,5439.0
1358,,5.85,6.25,,6.65,7.06,21.19,33.62,47.09,1:01.48,1:23.77,3:08.00,1:17.32,1:49.91,2:22.65,3:44.58,4:02.45,5:06.94,7:55.89,8:30.98,13:37.01,,6.33,7.63,16.33,22.4,7067.0,5436.0
1357,5.69,,,6.05,6.63,7.17,21.2,33.63,47.12,1:01.52,1:23.82,3:08.11,1:17.36,1:49.97,2:22.73,3:44.70,4:02.58,5:07.11,7:56.16,8:31.27,13:37.48,,,9.0,16.32,22.38,7062.0,5432.0
1356,,6.15,6.62,6.15,6.66,,21.21,33.65,47.14,1:01.55,1:23.87,3:08.22,1:17.40,1:50.03,2:22.80,3:44.81,4:02.71,5:07.27,7:56.43,8:31.56,13:37.95,,5.27,7.62,16.31,22.37,7057.0,5428.0
1355,,,,,,7.18,21.22,33.67,47.17,1:01.58,1:23.92,3:08.33,1:17.44,1:50.08,2:22.87,3:44.93,4:02.83,5:07.44,7:56.69,8:31.85,13:38.42,,6.32,8.99,16.3,22.35,7052.0,5425.0
1354,5.44,,,,,,21.23,33.68,47.19,1:01.62,1:23.96,3:08.44,1:17.48,1:50.14,2:22.95,3:45.04,4:02.96,5:07.60,7:56.96,8:32.14,13:38.90,,,,16.29,22.33,7048.0,5421.0
1353,,,,6.16,6.67,,19.61,33.7,47.21,1:01.65,1:24.01,3:08.55,1:17.53,1:50.20,2:23.02,3:45.16,4:03.09,5:07.76,7:57.23,8:32.43,13:39.37,,5.26,7.61,16.28,22.32,7043.0,5417.0
1352,5.7,6.16,6.63,,,7.19,21.24,33.72,47.24,1:01.68,1:24.06,3:08.65,1:17.57,1:50.25,2:23.09,3:45.28,4:03.21,5:07.93,7:57.49,8:32.72,13:39.84,,,,16.27,22.3,7038.0,5414.0
1351,,,,,,7.08,21.25,33.73,47.26,1:01.71,1:24.10,3:08.76,1:17.61,1:50.31,2:23.16,3:45.39,4:03.34,5:08.09,7:57.76,8:33.01,13:40.32,,,7.6,16.26,22.29,7033.0,5410.0
1350,,,,6.17,6.68,7.2,21.26,33.75,47.29,1:01.75,1:24.15,3:08.87,1:17.65,1:50.37,2:23.24,3:45.51,4:03.47,5:08.26,7:58.03,8:33.30,13:40.79,2.49,5.25,,16.25,22.27,7029.0,5406.0
1349,,,,,6.65,,21.27,33.77,47.31,1:01.78,1:24.20,3:08.98,1:17.69,1:50.42,2:23.31,3:45.63,4:03.59,5:08.42,7:58.30,8:33.59,13:41.26,2.13,,7.59,16.24,22.25,7024.0,5403.0
1348,5.71,6.17,6.64,6.07,6.69,,21.28,33.78,47.33,1:01.81,1:24.25,3:09.09,1:17.73,1:50.48,2:23.38,3:45.74,4:03.72,5:08.59,7:58.56,8:33.88,13:41.74,,,8.96,16.23,22.24,7019.0,5399.0
1347,5.45,,,6.18,,7.21,21.29,33.8,47.36,1:01.85,1:24.29,3:09.20,1:17.78,1:50.54,2:23.46,3:45.86,4:03.85,5:08.75,7:58.83,8:34.17,13:42.21,,6.29,7.58,16.22,22.22,7015.0,5395.0
1346,,,6.27,,,,21.3,33.82,47.38,1:01.88,1:24.34,3:09.31,1:17.82,1:50.60,2:23.53,3:45.98,4:03.97,5:08.92,7:59.10,8:34.46,13:42.69,,5.24,8.95,16.21,22.21,7010.0,5392.0
1345,,5.87,6.65,,6.7,7.22,21.31,33.84,47.41,1:01.91,1:24.39,3:09.42,1:17.86,1:50.65,2:23.60,3:46.09,4:04.10,5:09.08,7:59.37,8:34.75,13:43.16,,,7.57,16.2,22.19,7005.0,5388.0
1344,5.72,6.18,,6.19,,7.1,21.32,33.85,47.43,1:01.94,1:24.44,3:09.53,1:17.90,1:50.71,2:23.68,3:46.21,4:04.23,5:09.25,7:59.63,8:35.04,13:43.64,,6.28,8.94,16.19,22.17,7000.0,5384.0
1343,,,,,,7.23,21.33,33.87,47.45,1:01.98,1:24.48,3:09.64,1:17.94,1:50.77,2:23.75,3:46.33,4:04.35,5:09.41,7:59.90,8:35.33,13:44.11,,5.23,,16.18,22.16,6996.0,5381.0
1342,,,,,6.71,,21.34,33.89,47.48,1:02.01,1:24.53,3:09.75,1:17.99,1:50.82,2:23.82,3:46.44,4:04.48,5:09.58,8:00.17,8:35.62,13:44.59,,6.27,7.56,16.17,22.14,6991.0,5377.0
