Jenter	Multiplikator					10 år	11 år	12 år	13 år	14 år	15 år	16 år	17 år	18 år	19 år
40 m	3,5					6.6	6.4								
60 m	2,7					9.25	8.85	8.55	8.4	8.25	8.15	8.05	8	7.95	7.9
80 m	2,1					12.2	11.6	11.1	10.85	10.65	10.5	10.35	10.25	10.15	10.1
100 m	1,6							13.8	13.4	13.1	12.9	12.75	12.6	12.5	12.4
200 m	0,78						29.7	28.5	27.7	27.1	26.5	26.15	25.9	25.7	25.55
300 m	0,5							45.8	44.5	43.4	42.5	41.7	41.2	40.8	40.5
400 m	0,38									61.6	60	58.8	58	57.5	57
600 m	2,4					01:55.0	01:50.0	01:45.0	01:42.0	01:40.0	01:38.5	01:37.0	01:36.0	01:35.0	01:34.0
800 m	1,5									02:21.0	02:18.5	02:16.0	02:14.0	02:13.0	02:12.5
1000 m	1									03:09.0	03:06.5	03:04.0	03:01.5	03:00.0	02:59.0
1500 m	0,6							05:15.0	05:05.0	04:55.0	04:46.0	04:42.0	04:39.0	04:37.0	04:35.0
2000 m	0,4									06:58.0	06:46.0	06:38.0	06:33.0	06:29.0	06:25.0
3000 m	0,23											10:25.0	10:15.0	10:07.0	10:00.0
5000 m	0,13												18:00.0	17:45.0	17:35.0
10000 m	0,06													38:30.0	38:00.0
1000m	Kappgang				0,7		05:20.0	05:03.0	04:48.0	04:40.0	04:35.0	04:32.0	04:30.0	04:28.0	04:26.0
2000m	Kappgang				0,3				10:40.0	10:20.0	10:00.0	09:48.0	09:38.0	09:34.0	09:30.0
3000m	Kappgang				0,18				16:42.0	16:02.0	15:36.0	15:20.0	15:06.0	15:00.0	14:55.0
5000m	Kappgang				0,1					27:40.0	26:55.0	26:25.0	25:55.0	25:38.0	25:24.0
10000m	Kappgang				0,05						59:00.0	57:30.0	56:30.0	55:30.0	55:00.0
20000m	Kappgang				0,02									53:30.0	52:00.0
60 mH	68,0cm	6,5m			1,9	11.6	10.9								
60 mH	76,2cm	7m			1,9			10.5							
60 mH	76,2cm	7,5m			1,9				10.1	9.7					
80 mH	76,2cm	8m			1,4						12.5	12.2			
100 mH	76,2cm	8,5m			1								15		
100 mH	84,0cm	8,5m			1									14.9	14.7
200 mH	68,0cm	19m			0,5		36	34	32.4						
200 mH	76,2cm	19m			0,5					31.6	31	30.4	30	29.7	29.5
300 mH	76,2cm	35m			0,4					48	47	46.4	45.9	45.5	45.2
400 mH	76,2cm	35m			0,3									63.1	62.5
1500 mH	76,2cm	0,46								05:40.0	05:30.0	05:25.0			
2000 mH	76,2cm	0,35											07:10.0	07:00.0	06:50.0
3000 mH	76,2cm	0,2											11:40.0	11:10.0	10:50.0
Høyde	7,5					1.22	1.34	1.44	1.52	1.58	1.61	1.64	1.66	1.68	1.7
Høyde u.t.	9,5					1	1.1	1.2	1.26	1.3	1.33	1.35	1.36	1.37	1.38
Stav	Over 1000p			2	1000p	1.8	2	2.2	2.5	2.8	2.95	3.1	3.2	3.3	3.4
	1000p-80%			4	80%	1.44	1.6	1.76	2	2.24	2.36	2.48	2.56	2.64	2.72
	Under 80%			8	Poeng	856	840	824	800	776	764	752	744	736	728
Lengde	2,1					4.1	4.35	4.7	5	5.25	5.36	5.47	5.55	5.63	5.7
Lengde u.t.	6					2.05	2.18	2.3	2.4	2.48	2.54	2.59	2.62	2.64	2.66
Tresteg	1					8	8.8	9.5	10.2	10.8	11.4	11.9	12.2	12.4	12.6
Kule	Over 1000p			0,3	1000p									11.4	11.7
4kg	1000p-80%			0,6	80%									9.12	9.36
	Under 80%			1,2	Poeng									863	859
Kule	Over 1000p			0,3	1000p					10.8	11.4	12	12.6		
3 kg	1000p-80%			0,6	80%					8.64	9.12	9.6	10.08		
	Under 80%			1,2	Poeng					870	863	856	848		
Kule	Over 1000p			0,3	1000p	6.8	8.8	10.2	11.2						
2 kg	1000p-80%			0,6	80%	5.44	7.04	8.16	8.96						
	Under 80%			1,2	Poeng	918	894	877	865						
Diskos	Over 1000p			0,15	1000p							37	40	42	43
1 kg	1000p-80%			0,3	80%							29.6	32	33.6	34.4
	Under 80%			0,6	Poeng							778	760	748	742
Diskos	Over 1000p			0,15	1000p					38	43				
0,75 kg	1000p-80%			0,3	80%					30.4	34.4				
	Under 80%			0,6	Poeng					772	742				
Diskos	Over 1000p			0,15	1000p	18	26	32	38						
0,6 kg	1000p-80%			0,3	80%	14.4	20.8	25.6	30.4						
	Under 80%			0,6	Poeng	892	844	808	772						
Slegge	Over 1000p			0,12	1000p									46	48
4 kg	1000p-80%			0,25	80%									36.8	38.4
119,5 cm	Under 80%			0,5	Poeng									770	760
Slegge	Over 1000p			0,12	1000p					34	38	41	44		
3 kg	1000p-80%			0,25	80%					27.2	30.4	32.8	35.2		
119,5 cm	Under 80%			0,5	Poeng					830	810	795	780		
Slegge	Over 1000p			0,12	1000p	20	27	33	38						
2 kg	1000p-80%			0,25	80%	16	21.6	26.4	30.4						
110 cm	Under 80%			0,5	Poeng	900	865	835	810						
Spyd	Over 1000p			0,13	1000p									42	43
600 g	1000p-80%			0,25	80%									33.6	34.4
	Under 80%			0,5	Poeng									790	785
Spyd	Over 1000p			0,13	1000p						38	40	42		
500 g	1000p-80%			0,25	80%						30.4	32	33.6		
	Under 80%			0,5	Poeng						810	800	790		
Spyd	Over 1000p			0,13	1000p	20	27	32	36	39					
400 g	1000p-80%			0,25	80%	16	21.6	25.6	28.8	31.2					
	Under 80%			0,5	Poeng	900	865	840	820	805					
Liten ball	Over 1000p			0,1	1000p	38	43	50	56	62					
150 g	1000p-80%			0,2	80%	30.4	34.4	40	44.8	49.6					
	Under 80%			0,4	Poeng	848	828	800	776	752					
Slengball	Over 1000p			0,13	1000p	20	26	31							
1 kg				0,25	80%	16	20.8	24.8							
Kort reim	1000p-80%			0.5	Poeng	900	865	840							
